t,in,2,3
-9.684800E-05,2.022437E+00,1.9164929E+00,1.1832816E+00
-9.683200E-05,2.022437E+00,1.9369397E+00,1.1845023E+00
-9.681600E-05,2.013312E+00,1.9280896E+00,1.1800772E+00
-9.680000E-05,2.017874E+00,1.9525037E+00,1.1820609E+00
-9.678400E-05,2.015067E+00,1.9467053E+00,1.1827475E+00
-9.676800E-05,2.021209E+00,1.9488416E+00,1.1800772E+00
-9.675200E-05,2.020682E+00,1.9644055E+00,1.1815268E+00
-9.673600E-05,2.018927E+00,1.9613538E+00,1.1839682E+00
-9.672000E-05,2.022437E+00,1.9457898E+00,1.1812979E+00
-9.670400E-05,2.018927E+00,1.9427380E+00,1.1815268E+00
-9.668800E-05,2.012786E+00,1.9525037E+00,1.1815268E+00
-9.667200E-05,2.017874E+00,1.9341931E+00,1.1829764E+00
-9.665600E-05,2.021209E+00,1.9537244E+00,1.1803061E+00
-9.664000E-05,2.012259E+00,1.9360242E+00,1.1822897E+00
-9.662400E-05,2.022963E+00,1.9555554E+00,1.1798483E+00
-9.660800E-05,2.024016E+00,1.9320569E+00,1.1800772E+00
-9.659200E-05,2.018927E+00,1.9497571E+00,1.1825186E+00
-9.657600E-05,2.021735E+00,1.9427380E+00,1.1847311E+00
-9.656000E-05,2.018927E+00,1.9537244E+00,1.1800772E+00
-9.654400E-05,2.025771E+00,1.9799695E+00,1.1849600E+00
-9.652800E-05,2.017874E+00,1.9537244E+00,1.1832816E+00
-9.651200E-05,2.018927E+00,1.9634900E+00,1.1849600E+00
-9.649600E-05,2.020156E+00,1.9537244E+00,1.1851889E+00
-9.648000E-05,2.014014E+00,1.9369397E+00,1.1847311E+00
-9.646400E-05,2.011206E+00,1.9537244E+00,1.1849600E+00
-9.644800E-05,2.020156E+00,1.9506726E+00,1.1827475E+00
-9.643200E-05,2.017874E+00,1.9409070E+00,1.1835104E+00
-9.641600E-05,2.017348E+00,1.9573865E+00,1.1825186E+00
-9.640000E-05,2.021209E+00,1.9720349E+00,1.1841971E+00
-9.638400E-05,2.024543E+00,1.9399915E+00,1.1822897E+00
-9.636800E-05,2.027350E+00,1.9390759E+00,1.1812979E+00
-9.635200E-05,2.023490E+00,1.9418225E+00,1.1810690E+00
-9.633600E-05,2.022963E+00,1.9564709E+00,1.1822897E+00
-9.632000E-05,2.018927E+00,1.9515881E+00,1.1851889E+00
-9.630400E-05,2.021735E+00,1.9702039E+00,1.1839682E+00
-9.628800E-05,2.022437E+00,1.9488416E+00,1.1825186E+00
-9.627200E-05,2.026824E+00,1.9488416E+00,1.1845023E+00
-9.625600E-05,2.017348E+00,1.9506726E+00,1.1841971E+00
-9.624000E-05,2.017348E+00,1.9457898E+00,1.1774069E+00
-9.622400E-05,2.021735E+00,1.9732556E+00,1.1815268E+00
-9.620800E-05,2.020682E+00,1.9564709E+00,1.1812979E+00
-9.619200E-05,2.017348E+00,1.9555554E+00,1.1854178E+00
-9.617600E-05,2.017874E+00,1.9409070E+00,1.1849600E+00
-9.616000E-05,2.021209E+00,1.9586072E+00,1.1854178E+00
-9.614400E-05,2.018927E+00,1.9418225E+00,1.1820609E+00
-9.612800E-05,2.022963E+00,1.9573865E+00,1.1829764E+00
-9.611200E-05,2.018927E+00,1.9448743E+00,1.1835104E+00
-9.609600E-05,2.017348E+00,1.9360242E+00,1.1822897E+00
-9.608000E-05,2.018401E+00,1.9506726E+00,1.1841971E+00
-9.606400E-05,2.016120E+00,1.9879041E+00,1.1825186E+00
-9.604800E-05,2.020156E+00,1.9467053E+00,1.1832816E+00
-9.603200E-05,2.024016E+00,1.9595227E+00,1.1837393E+00
-9.601600E-05,2.026297E+00,1.9506726E+00,1.1837393E+00
-9.600000E-05,2.026297E+00,1.9613538E+00,1.1815268E+00
-9.598400E-05,2.017348E+00,1.9613538E+00,1.1808401E+00
-9.596800E-05,2.021735E+00,1.9439587E+00,1.1835104E+00
-9.595200E-05,2.018927E+00,1.9830212E+00,1.1851889E+00
-9.593600E-05,2.014540E+00,1.9634900E+00,1.1820609E+00
-9.592000E-05,2.020682E+00,1.9769177E+00,1.1859518E+00
-9.590400E-05,2.020156E+00,1.9573865E+00,1.1845023E+00
-9.588800E-05,2.018401E+00,1.9653210E+00,1.1859518E+00
-9.587200E-05,2.025244E+00,1.9711194E+00,1.1815268E+00
-9.585600E-05,2.021735E+00,1.9564709E+00,1.1874014E+00
-9.584000E-05,2.028052E+00,1.9653210E+00,1.1839682E+00
-9.582400E-05,2.012786E+00,1.9604382E+00,1.1849600E+00
-9.580800E-05,2.017874E+00,1.9613538E+00,1.1835104E+00
-9.579200E-05,2.026297E+00,1.9750867E+00,1.1851889E+00
-9.577600E-05,2.018401E+00,1.9439587E+00,1.1878592E+00
-9.576000E-05,2.028579E+00,1.9586072E+00,1.1851889E+00
-9.574400E-05,2.028579E+00,1.9555554E+00,1.1857230E+00
-9.572800E-05,2.022963E+00,1.9506726E+00,1.1874014E+00
-9.571200E-05,2.028052E+00,1.9586072E+00,1.1861807E+00
-9.569600E-05,2.025244E+00,1.9271741E+00,1.1874014E+00
-9.568000E-05,2.028052E+00,1.9653210E+00,1.1839682E+00
-9.566400E-05,2.025244E+00,1.9497571E+00,1.1829764E+00
-9.564800E-05,2.021735E+00,1.9644055E+00,1.1822897E+00
-9.563200E-05,2.024016E+00,1.9711194E+00,1.1845023E+00
-9.561600E-05,2.027350E+00,1.9515881E+00,1.1815268E+00
-9.560000E-05,2.023490E+00,1.9488416E+00,1.1857230E+00
-9.558400E-05,2.030860E+00,1.9497571E+00,1.1835104E+00
-9.556800E-05,2.025771E+00,1.9613538E+00,1.1835104E+00
-9.555200E-05,2.029105E+00,1.9644055E+00,1.1827475E+00
-9.553600E-05,2.028579E+00,1.9378552E+00,1.1886221E+00
-9.552000E-05,2.031913E+00,1.9604382E+00,1.1841971E+00
-9.550400E-05,2.026297E+00,1.9213757E+00,1.1849600E+00
-9.548800E-05,2.028579E+00,1.9467053E+00,1.1859518E+00
-9.547200E-05,2.027350E+00,1.9525037E+00,1.1827475E+00
-9.545600E-05,2.027350E+00,1.9351086E+00,1.1841971E+00
-9.544000E-05,2.032965E+00,1.9351086E+00,1.1874014E+00
-9.542400E-05,2.029631E+00,1.9378552E+00,1.1832816E+00
-9.540800E-05,2.029631E+00,1.9476208E+00,1.1822897E+00
-9.539200E-05,2.022963E+00,1.9741711E+00,1.1871725E+00
-9.537600E-05,2.031386E+00,1.9506726E+00,1.1869437E+00
-9.536000E-05,2.030158E+00,1.9293103E+00,1.1866385E+00
-9.534400E-05,2.028579E+00,1.9399915E+00,1.1847311E+00
-9.532800E-05,2.023490E+00,1.9683728E+00,1.1869437E+00
-9.531200E-05,2.023490E+00,1.9634900E+00,1.1869437E+00
-9.529600E-05,2.029631E+00,1.9457898E+00,1.1845023E+00
-9.528000E-05,2.025771E+00,1.9448743E+00,1.1861807E+00
-9.526400E-05,2.032965E+00,1.9741711E+00,1.1864096E+00
-9.524800E-05,2.029105E+00,1.9634900E+00,1.1812979E+00
-9.523200E-05,2.023490E+00,1.9573865E+00,1.1866385E+00
-9.521600E-05,2.026824E+00,1.9573865E+00,1.1849600E+00
-9.520000E-05,2.030158E+00,1.9476208E+00,1.1845023E+00
-9.518400E-05,2.024543E+00,1.9622693E+00,1.1835104E+00
-9.516800E-05,2.026297E+00,1.9515881E+00,1.1878592E+00
-9.515200E-05,2.028579E+00,1.9613538E+00,1.1849600E+00
-9.513600E-05,2.032965E+00,1.9555554E+00,1.1841971E+00
-9.512000E-05,2.029631E+00,1.9351086E+00,1.1874014E+00
-9.510400E-05,2.031913E+00,1.9525037E+00,1.1866385E+00
-9.508800E-05,2.029105E+00,1.9808850E+00,1.1893851E+00
-9.507200E-05,2.026297E+00,1.9525037E+00,1.1869437E+00
-9.505600E-05,2.022437E+00,1.9448743E+00,1.1874014E+00
-9.504000E-05,2.031913E+00,1.9546399E+00,1.1861807E+00
-9.502400E-05,2.031386E+00,1.9390759E+00,1.1866385E+00
-9.500800E-05,2.031913E+00,1.9418225E+00,1.1878592E+00
-9.499200E-05,2.027350E+00,1.9448743E+00,1.1883932E+00
-9.497600E-05,2.024016E+00,1.9476208E+00,1.1864096E+00
